A00001,正,,一,
A00001-002,,,弌,
A00001-005,,1,壹,
A00001-006,,,弌,
A00002,正,,丁,
A00003,正,,七,
A00003-002,,1,柒,
A00004,正,,三,
A00004-001,,,弎,
A00004-001-1,,1,參,
A00004-001-2,,2,叁,
A00004-006-1,,1,叄,
A00005,正,,下,
A00005-001,,,丅,
A00006,正,,丈,
A00006-003,,1,支,
A00007,正,,上,
A00007-001,,,丄,
A00007-002,,1,二,
A00008,正,,丑,
A00008-003,,,丒,
A00009,正,,丐,
A00009-001,,,匄,
A00009-002,,1,匃,
A00010,正,,不,
A00010-024,附,2,还,
A00011,正,,丙,
A00012,正,,世,
A00012-001,,,丗,
A00012-002,,,卋,
A00013,正,,丕,
A00014,正,2,且,
A00015,正,,丘,
A00015-003,,,丠,
A00015-011-1,,1,坵,
A00016,正,,丞,
A00017,正,,丟,
A00017-001,,,丢,
A00018,正,,並,
A00018-002,,,傡,
A00018-003,,,竝,
A00019,正,,丫,
A00019-002,,1,椏,
A00019-003,,1,亞,
A00020,正,,中,
A00021,正,,串,
A00022,正,,丸,
A00023,正,,凡,
A00023-001,,,凢,
A00023-002-1,,,凣,
A00024,正,2,丹,
A00025,正,,主,
A00026,正,,乃,
A00026-006,,1,弓,
A00026-018,,2,廼,
A00027,正,,久,
A00027-001,,,乆,
A00027-002,,1,镹,
A00028,正,2,么,
A00028-001,,1,幺,
A00029,正,,之,
A00030,正,,尹,
A00031,正,,乍,
A00032,正,,乏,
A00033,正,,乎,
A00033-006,,1,虖,
A00034,正,,乒,
A00035,正,,乓,
A00036,正,,乖,
A00037,正,,乘,
A00037-001,,,乗,
A00037-006,,,椉,
A00038,正,2,乙,
A00038-001,,2,乚,
A00039,正,,九,
A00039-002-1,,1,玖,
A00040,正,2,也,
A00041,正,,乞,
A00041-002,,1,气,
A00042,正,,乩,
A00043,正,,乳,
A00044,正,,乾,
A00044-001,,,乹,
A00044-002-1,,,亁,
A00044-034,,1,干,
A00044-037-2,,1,漧,
A00045,正,,亂,
A00045-001,,,乱,
A00045-010,,,釠,
A00045-017-1,,1,乨,
A00046,正,2,了,
A00047,正,,予,
A00048,正,,事,
A00048-002,,1,叓,
A00049,正,2,二,
A00049-002,,,弍,
A00049-004,,1,貳,
A00050,正,,于,
A00050-001,,1,亏,
A00051,正,2,云,
A00052,正,,井,
A00052-001,,1,丼,
A00053,正,2,互,
A00054,正,,五,
A00054-006,,1,乂,
A00054-012,,1,伍,
A00055,正,,亙,
A00055-001,,1,亘,
A00056,正,,些,
A00056-003,,1,呰,
A00057,正,3,亞,
A00057-001,,,亜,
A00057-007,,1,俹,
A00058,正,,亟,
A00058-003,,,焏,
A00059,正,,亡,
A00059-001,,,亾,
A00059-002,,,兦,
A00060,正,,交,
A00061,正,,亦,
A00062,正,,亥,
A00063,正,3,亨,
A00063-003,,2,亯,
A00063-005,,1,享,
A00064,正,2,享,
A00064-001,,1,亯,
A00064-009,,2,畗,
A00064-010,,1,亨,
A00065,正,,京,
A00065-001,,1,亰,
A00066,正,,亭,
A00067,正,,亮,
A00068,正,,人,
A00068-005-1,,1,几,
A00069,正,,仁,
A00069-001,,,忈,
A00069-002,,,忎,
A00070,正,2,什,
A00071,正,,仃,
A00072,正,2,仆,
A00073,正,,仇,
A00074,正,,仍,
A00075,正,,今,
A00076,正,,介,
A00077,正,,仄,
A00077-015,,1,庂,
A00078,正,,以,
A00078-005,,1,叱,
A00079,正,,付,
A00079-001,,1,仅,
A00080,正,,仔,
A00081,正,,仕,
A00082,正,,他,
A00082-001,,1,佗,
A00083,正,,仗,
A00084,正,,代,
A00085,正,,令,
A00086,正,,仙,
A00086-004-1,,1,僊,
A00086-009-1,,1,仚,
A00086-009-6,,1,佡,
A00086-027-1,,1,屳,
A00087,正,,仞,
A00088,正,,仿,
A00088-004-2,,1,倣,
A00089,正,,伉,
A00090,正,2,伙,
A00091,正,,伊,
A00092,正,,伕,
A00093,正,2,伍,
A00094,正,,伐,
A00094-001,,1,牫,
A00095,正,,休,
A00095-004,,1,咻,
A00095-009,,1,烋,
A00096,正,,伏,
A00097,正,,仲,
A00098,正,,件,
A00099,正,,任,
A00100,正,,仰,
A00101,正,,仳,
A00102,正,2,份,
A00103,正,,企,
A00103-016,,,仚,
A00104,正,,位,
A00105,正,2,住,
A00106,正,,佇,
A00106-003,,,竚,
A00107,正,5,佗,
A00107-002,,1,它,
A00108,正,,佞,
A00109,正,,伴,
A00110,正,,佛,
A00110-001,,1,仏,
A00110-006,,1,仸,
A00110-008,,1,彿,
A00111,正,,何,
A00112,正,,估,
A00113,正,,佐,
A00114,正,,佑,
A00115,正,2,伽,
A00116,正,,伺,
A00116-002,,1,覗,
A00117,正,,伸,
A00118,正,,佃,
A00119,正,,佔,
A00120,正,,似,
A00120-001,,,佀,
A00120-003,,2,仏,
A00120-007,,2,価,
A00121,正,,但,
A00122,正,2,佣,
A00123,正,,作,
A00124,正,,你,
A00124-001,,,伲,
A00124-003,,,伱,
A00124-005,,,儞,
A00125,正,,伯,
A00126,正,,低,
A00126-001,,,仾,
A00127,正,,伶,
A00128,正,2,余,
A00129,正,,佝,
A00130,正,,佯,
A00131,正,,依,
A00132,正,,侍,
A00133,正,,佳,
A00134,正,,使,
A00135,正,,佬,
A00136,正,,供,
A00137,正,,例,
A00138,正,,來,
A00138-001,,,来,
A00138-003-1,,1,徠,
A00138-003-2,,1,逨,
A00138-003-3,,2,倈,
A00139,正,,侃,
A00139-002,,1,偘,
A00140,正,2,佰,
A00141,正,,併,
A00141-001,,,倂,
A00142,正,,侈,
A00143,正,,佩,
A00144,正,,佻,
A00145,正,,侖,
A00146,正,,佾,
A00147,正,,侏,
A00148,正,,信,
A00148-004,,,訫,
A00149,正,,侵,
A00150,正,,侯,
A00150-001,,,矦,
A00151,正,,便,
A00152,正,,俠,
A00152-001,,,侠,
A00153,正,,俑,
A00154,正,,俏,
A00155,正,,保,
A00156,正,,促,
A00156-006,,1,趗,
A00157,正,,侶,
A00157-001,,,侣,
A00158,正,,俘,
A00159,正,,俟,
A00159-007,,,竢,
A00159-014,,1,逘,
A00160,正,,俊,
A00160-002,,,儁,
A00160-007,,1,儶,
A00161,正,,俗,
A00161-004,,1,圱,
A00162,正,,侮,
A00162-010,,2,娒,
A00163,正,,俐,
A00163-001,,,悧,
A00164,正,,俄,
A00165,正,,係,
A00166,正,,俚,
A00167,正,,俎,
A00167-001,,,爼,
A00168,正,,俞,
A00168-001,,,兪,
A00169,正,,倌,
A00170,正,,倍,
A00170-003,,1,俖,
A00171,正,2,倣,
A00172,正,,俯,
A00172-001,,1,頫,
A00172-002,,1,俛,
A00173,正,,倦,
A00173-001,,1,劵,
A00173-011-1,,1,惓,
A00173-019-1,,2,勌,
A00174,正,,倥,
A00175,正,,俸,
A00176,正,,倩,
A00177,正,,倖,
A00178,正,,倆,
A00178-001,,,俩,
A00179,正,,值,
A00179-001,,,値,
A00180,正,,借,
A00180-001,,,徣,
A00181,正,,倚,
A00182,正,,倒,
A00183,正,,們,
A00184,正,,俺,
A00185,正,,倀,
A00186,正,,倔,
A00186-004-1,,2,誳,
A00187,正,,倨,
A00188,正,2,俱,
A00188-001,,1,倶,
A00189,正,,倡,
A00190,正,,個,
A00190-001,,,个,
A00190-002,,,亇,
A00190-007,,1,箇,
A00191,正,,候,
A00192,正,,倘,
A00193,正,2,俳,
A00194,正,,修,
A00194-001,,,俢,
A00194-005,,1,臹,
A00194-005-1,,1,脩,
A00195,正,,倭,
A00196,正,,倪,
A00196-008,,1,俔,
A00197,正,,俾,
A00198,正,,倫,
A00199,正,,倉,
A00199-001,,,仺,
A00200,正,2,偺,
A00201,正,,偽,
A00201-001-1,,,僞,
A00202,正,,停,
A00203,正,,假,
A00203-005,,2,仮,
A00203-031,,1,叚,
A00204,正,,偃,
A00205,正,,偌,
A00206,正,,做,
A00207,正,,偉,
A00208,正,,健,
A00208-001,,,徤,
A00209,正,,偶,
A00209-002-1,,1,媀,
A00210,正,,偎,
A00211,正,,偕,
A00212,正,,偵,
A00212-004,,1,遉,
A00213,正,,側,
A00214,正,,偷,
A00214-001,,,偸,
A00215,正,,偏,
A00216,正,,倏,
A00216-001,,,倐,
A00216-014,,1,焂,
A00216-015,,1,翛,
A00217,正,2,傢,
A00218,正,,傍,
A00218-002-1,,1,徬,
A00219,正,,傅,
A00219-007,,1,傳,
A00220,正,,備,
A00220-002-1,,,偹,
A00220-004,,,僃,
A00220-008,,,俻,
A00221,正,,傑,
A00222,正,,傀,
A00223,正,,傖,
A00224,正,2,傘,
A00224-013-1,,1,繖,
A00225,正,,傭,
A00225-008,,1,佣,
A00226,正,,債,
A00227,正,,傲,
A00227-002,,,慠,
A00228,正,2,傳,
A00228-014,,1,伝,
A00229,正,,僅,
A00229-008,,2,仅,
A00230,正,,傾,
A00231,正,,催,
A00232,正,,傷,
A00233,正,,傻,
A00233-001,,,儍,
A00234,正,,傯,
A00234-001,,,偬,
A00234-004,,1,倊,
A00235,正,,僧,
A00236,正,,僮,
A00236-001,,1,偅,
A00237,正,,僥,
A00237-010,,1,憢,
A00238,正,,僖,
A00239,正,,僭,
A00239-001,,1,僣,
A00240,正,,僚,
A00241,正,,僕,
A00241-005,,1,仆,
A00242,正,,像,
A00242-003,,1,傢,
A00243,正,,僑,
A00244,正,,僱,
A00245,正,,億,
A00246,正,,儀,
A00247,正,,僻,
A00248,正,,僵,
A00248-002,,2,傹,
A00249,正,,價,
A00249-001,,1,価,
A00249-002,,1,价,
A00250,正,,儂,
A00251,正,,儈,
A00252,正,,儉,
A00252-003,,,倹,
A00253,正,,儒,
A00253-006,,1,偄,
A00254,正,,儘,
A00254-003,,2,尽,
A00255,正,,儔,
A00256,正,,儐,
A00257,正,,優,
A00257-004,,1,优,
A00258,正,,償,
A00259,正,,儡,
A00260,正,,儲,
A00261,正,,儷,
A00262,正,,儼,
A00262-008-1,,2,偘,
A00263,正,2,兀,
A00264,正,,元,
A00265,正,,允,
A00266,正,,充,
A00267,正,,兄,
A00268,正,,光,
A00268-003,,,灮,
A00268-004,,,炗,
A00268-012,,1,烡,
A00268-013,,1,茪,
A00268-018,,1,炚,
A00268-019,,1,炛,
A00269,正,2,兇,
A00269-004,,1,恟,
A00269-005,,1,忷,
A00270,正,,兆,
A00270-012,,1,宨,
A00271,正,,先,
A00272,正,,兌,
A00272-001,,,兊,
A00272-002,,1,兑,
A00273,正,,克,
A00273-015-1,,1,剋,
A00274,正,,兕,
A00274-011,,1,咒,
A00275,正,,免,
A00275-005,,2,兑,
A00276,正,,兔,
A00276-001,,,兎,
A00276-005,,1,菟,
A00277,正,,兒,
A00277-001,,,児,
A00277-009,,1,儿,
A00277-010,,2,皃,
A00278,正,,兗,
A00278-001,,1,兖,
A00279,正,,兜,
A00279-001,,,兠,
A00280,正,2,兢,
A00281,正,,入,
A00282,正,,內,
A00282-001,,,内,
A00283,正,,全,
A00283-013-1,,1,仝,
A00284,正,2,兩,
A00284-001,,,両,
A00284-002,,,两,
A00284-012,,2,刄,
A00285,正,,八,
A00286,正,,六,
A00286-003,,1,陸,
A00287,正,,兮,
A00288,正,,公,
A00289,正,,共,
A00290,正,,兵,
A00291,正,,具,
A00291-005-1,,1,俱,
A00291-005-2,,2,倶,
A00292,正,,其,
A00292-001,,1,亓,
A00292-003,,1,丌,
A00292-005,,2,亣,
A00292-007,,1,卞,
A00293,正,,典,
A00294,正,,兼,
A00295,正,,冀,
A00295-001,,,兾,
